ano	mes	senador	valor_reembolsado
2021	1	acir gurgacz	75.29
2021	1	acir gurgacz	1000
2021	1	acir gurgacz	6000
2021	1	acir gurgacz	1500
2021	1	acir gurgacz	6000
2021	1	acir gurgacz	1486.46
2021	1	acir gurgacz	1890
2021	2	acir gurgacz	73.45
2021	2	acir gurgacz	171
2021	2	acir gurgacz	1000
2021	2	acir gurgacz	6000
2021	2	acir gurgacz	189.77
2021	2	acir gurgacz	1500
2021	2	acir gurgacz	6000
2021	2	acir gurgacz	2868.19
2021	2	acir gurgacz	1653.6
2021	2	acir gurgacz	1732.44
2021	2	acir gurgacz	2720
2021	2	acir gurgacz	2455
2021	3	acir gurgacz	73.37
2021	3	acir gurgacz	174.68
2021	3	acir gurgacz	1000
2021	3	acir gurgacz	6000
2021	3	acir gurgacz	189.77
2021	3	acir gurgacz	6000
2021	3	acir gurgacz	1500
2021	3	acir gurgacz	1000
2021	3	acir gurgacz	1000
2021	3	acir gurgacz	1000
2021	3	acir gurgacz	500
2021	3	acir gurgacz	1550.35
2021	3	acir gurgacz	2185.92
2021	3	acir gurgacz	2639.8
2021	3	acir gurgacz	4033.4
2021	3	acir gurgacz	1625
2021	3	acir gurgacz	1490
2021	3	acir gurgacz	1495
2021	3	acir gurgacz	1570
2021	3	acir gurgacz	1354
2021	3	acir gurgacz	1905
2021	3	acir gurgacz	1575
2021	4	acir gurgacz	73.38
2021	4	acir gurgacz	196.7
2021	4	acir gurgacz	1000
2021	4	acir gurgacz	6000
2021	4	acir gurgacz	189.77
2021	4	acir gurgacz	1000
2021	4	acir gurgacz	1500
2021	4	acir gurgacz	6000
2021	4	acir gurgacz	1000
2021	4	acir gurgacz	1000
2021	4	acir gurgacz	1000
2021	4	acir gurgacz	500
2021	4	acir gurgacz	1000
2021	4	acir gurgacz	8750.16
2021	4	acir gurgacz	3302
2021	4	acir gurgacz	1198
2021	4	acir gurgacz	1595
2021	4	acir gurgacz	1020
2021	4	acir gurgacz	1935
2021	5	acir gurgacz	1000
2021	5	acir gurgacz	6000
2021	5	acir gurgacz	6000
2021	5	acir gurgacz	1000
2021	5	acir gurgacz	1500
2021	5	acir gurgacz	1000
2021	5	acir gurgacz	1000
2021	5	acir gurgacz	1000
2021	5	acir gurgacz	500
2021	5	acir gurgacz	7858.7
2021	5	acir gurgacz	2911
2021	5	acir gurgacz	5461
2021	5	acir gurgacz	11999
2021	5	acir gurgacz	1250
2021	5	acir gurgacz	1585
2021	5	acir gurgacz	2395
2021	5	acir gurgacz	2339
2021	5	acir gurgacz	2835
2021	6	acir gurgacz	1000
2021	6	acir gurgacz	6000
2021	6	acir gurgacz	1000
2021	6	acir gurgacz	1500
2021	6	acir gurgacz	6000
